route,destination
1,Poranki
1G,Kankipadu
2,Ramavarrapadu
2K,Kanuru
3,Government Press
3D,Devi Nagar
3G,Gollapudi
5,Autonagar
5G,Autonagar (via Gurunanak Colony)
5S,Gollapudi
7A,Pedda Puli Paka
7H,Harishchandrapuram
7R,Yanamala Kudhuru
10,Penamaluru
10A,Penamaluru (via Ramavarappadu)
10C,Chodavaram
10S,Gollapudi (via Ramavarappadu)
11,Autonagar (Eluru Road)
11H,Autonagar (Eluru Road)
11J,Jakkampudi YSR Colony
11V,Vambay Colony
12,Gannavaram
14,Gollapudi
16M,Gunadala
16R,New Raja Rajeswari Pet
20,Mangalagiri
20A,Mangalagiri AIIMS
23,Penamaluru
23A,Ganguru
23K,Kesaraneni Vari Palem
25,Kaleswara Rao Market
26H,Autonagar
28B,Panja (Bundar Road)
28E,Panja (Eluru Road)
144,Kondapalli
212,Gannavaram (via Gollapudi)
216,Ibrahimpatnam
222,Kondapalli (via Poranki)
301,Pandit Nehru Bus Station
302,Benz Circle
303,Autonagar Bus Stand
304,Kaleswararao Market
305,Vijayawada Railway Station
231,Autonagar to Benz Circle
